"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보(x)","좌표정보(y)","문화체육업종명","문화사업자구분명","지역구분명","총층수","주변환경명","제작취급품목내용","보험기관명","건물용도명","지상층수","지하층수","객실수","건축연면적","영문상호명","영문상호주소","선박총톤수","선박척수","선박제원","무대면적","좌석수","기념품종류","회의실별동시수용인원","시설면적","놀이기구수내역","놀이시설수","방송시설유무","발전시설유무","의무실유무","안내소유무","기획여행보험시작일자","기획여행보험종료일자","자본금","보험시작일자","보험종료일자","부대시설내역","시설규모",
"1","일반유원시설업","03_07_09_P","4250000","CDFI5271002021000001","20210630","","02","휴업","02","휴업","","20220825","20230630","","430-2442","","","강원도 홍천군 홍천읍 연봉리 402-4","","","홍천물놀이장","20220826105211","U","2022-08-28 02:40:00.0","","276697.185469625","464458.346904165","허가유원시설업","","","0","","","","","0","0","0","0","","","0","0","","0","0","","0","0","","0","Y","","","Y","","","0","","","","0",
"2","일반유원시설업","03_07_09_P","4140000","CDFI5271002019000001","20190130","","02","휴업","02","휴업","","20191213","20210131","","","","","경기도 연천군 전곡읍 전곡리 515번지 선사관리사업소, 전곡구석기유적관","경기도 연천군 전곡읍 양연로 1510, 선사관리사업소, 전곡구석기유적관","11027","아이존","20200507175621","U","2020-05-09 02:40:00.0","","205320.684903148","501301.057763832","허가유원시설업","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"3","일반유원시설업","03_07_09_P","3470000","CDFI5271002015000001","20150520","","02","휴업","02","휴업","","20220816","20230731","","","","704915","대구광역시 달서구 성당동 169-13","대구광역시 달서구 공원순환로 237 (성당동)","42672","대구시설공단(두류수영장)","20220825103627","U","2022-08-27 02:40:00.0","","341042.349189","261843.246105","허가유원시설업","","","0","","","","","0","0","0","0","","","0","0","","0","0","","0","0","안전성검사대상 5종 안전성검사비대상 1종","0","Y","Y","","Y","","","0","","","","0",
"4","일반유원시설업","03_07_09_P","3450000","CDFI5271002016000001","20161111","","02","휴업","02","휴업","","20210531","20221231","","053-660-1770","","","대구광역시 북구 칠성동2가 302-155","대구광역시 북구 태평로 161, 8층 (칠성동2가, 롯데백화점대구역)","41581","롯데백화점 대구점 키즈파크","20220303095838","U","2022-03-05 02:40:00.0","","344047.164924","265132.987974","허가유원시설업","","중심상업지역","13","기타","","","기타","10","3","0","0","","","0","0","","0","0","","0","0","삐에로기차1, 미니트레인1, 트램펄린2 (안전성검사 대상: 2종 2대, 확인검사 대상: 1종 2대)","0","Y","","Y","Y","","","0","","","","0",
"5","일반유원시설업","03_07_09_P","4740000","CDFI5271002010000001","20100719","","02","휴업","02","휴업","","20220615","20230614","","063-322-7752","","568802","전라북도 무주군 무주읍 당산리 343","전라북도 무주군 무주읍 괴목로 1330","568802","무주놀이랜드","20220615170231","U","2022-06-17 02:40:00.0","","261705.291712","278429.796466","허가유원시설업","","관리지역","","기타","","","유기장","","","","","","","","","","","","","","120","바이킹, 회전그네, 회전컵","","Y","Y","Y","Y","","","","","","","120",
"6","일반유원시설업","03_07_09_P","4500000","CDFI5271002014000001","20140630","","02","휴업","02","휴업","","20220821","20230630","","840-2354","","314020","충청남도 공주시 웅진동 437","충청남도 공주시 백제큰길 2104 (웅진동)","32535","시설관리사업소(공주시 곰나루 어린이 수영장)","20220826085958","U","2022-08-28 02:40:00.0","","210008.38526500000","330372.85905900000","허가유원시설업","","","","","","","","","","","","","","","","","","","","","","2종2대","","Y","","Y","Y","","","","","","","",
"7","일반유원시설업","03_07_09_P","3830000","CDFI5271002016000001","20160121","","02","휴업","02","휴업","","20160222","20161215","","","","","경기도 안양시 동안구 비산동 1023번지","경기도 안양시 동안구 평촌대로 389 (비산동, 시설관리공단)","13918","유로","20160222155201","I","2018-08-31 23:59:59.0","","195214.857510976","433697.424993204","허가유원시설업","","","","","","","","","","","","","","","","","","","","","","바이킹, 미니기차, 회전그네","3","Y","","Y","Y","","","","","","","",
"8","일반유원시설업","03_07_09_P","4060000","CDFI5271002012000001","20120725","","02","휴업","02","휴업","","20210615","20220630","","","","413812","경기도 파주시 월롱면 위전리 89-1","경기도 파주시 월롱면 도감로 130","10946","금강산랜드","20210625140733","U","2021-06-27 02:40:00.0","","182314.609098307","476542.890268151","허가유원시설업","","관리지역","1","","","","","","","","","","","","","","","","","","","","","Y","Y","Y","Y","","","","","","","",
"9","일반유원시설업","03_07_09_P","4030000","CDFI5271002010000001","20100726","","02","휴업","02","휴업","","20121018","20130331","","031-461-6272","","437825","경기도 의왕시 월암동 374-1번지 철도박물관","경기도 의왕시 철도박물관로 142 (월암동)","437825","(주)삼영필텍 의왕지사","20121031144656","I","2018-08-31 23:59:59.0","","195812.822305741","423592.932035254","허가유원시설업","","","","","","","","","","","","","","","","","","","","","","전동레일바이크 1종 5대","","","","","","","","","","","","",
"10","일반유원시설업","03_07_09_P","5600000","CDFI5271002000000001","20001029","","02","휴업","02","휴업","","20220330","20230330","","","","487896","경기도 포천시 영북면 산정리 189","경기도 포천시 영북면 산정호수로411번길 83-64","11103","호수랜드","20220323181227","U","2022-03-25 02:40:00.0","","228349.847279166","507375.819760922","허가유원시설업","","","","","","","","","","","","","","","","","","","","","","미니아스트로, 미니바이킹, 미니스윙거","","","","","","","","","","","","",
